orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
10,"Concours pour une école d'horlogerie au Locle, jugement",,,,,,Le Locle,,Suisse,1884-01-01,,,Pas d'extrait de rapport du jury dans la SBZ. Quatorze projets remis. Pas d'indication du montant des primes,"Colin, James Edouard;Ritter +;Piquet, Edouard-Eugène +;Favre, H",1er  prix;3e prix;3e prix;1er  prix,,,"[array(['Colin, James Edouard'], dtype=object)
 array(['Ritter', 'Piquet, Edouard-Eugène', 'Favre, H'], dtype=object)]",True,[9],10
11,Concours restreint pour un bâtiment des salles de conférences à Neuchâtel,,,,,,Neuchâtel,,Suisse,1884-01-01,1884-01-01,Invitation,"Pas d'indication du MO (la ville?), brève description du programme SBZ août 1884 vol.IV p.43, pas d'indication de dates (en août1884  le bâtiment est pratiquement achevé), seuls les architectes membres du jury sont mentionnés","Châtelain, Léo;Droz, A",Juré;Juré,,,"[array(['Châtelain, Léo'], dtype=object) array(['Droz, A'], dtype=object)]",False,[12],11
12,"Concours restreint pour un bâtiment des salles de conférences à Neuchâtel, jugement",,,,,,Neuchâtel,,Suisse,1884-01-01,,,"Pas d'extrait de rapport du jury (il n'a d'ailleurs pas été communiqué aux concurrents), ni d'indication du nombre de projets remis ou de montant des primes. ""Le comité a chargé M. Rychner de l'exécution du travail"", voir SBZ 1884 vol.IV p.43","Colin, James Edouard;Mayor, William;Rychner, Alfred",1er  prix;2e prix ex aequo;2e prix ex aequo,,,"[array(['Colin, James Edouard'], dtype=object)
 array(['Mayor, William'], dtype=object)
 array(['Rychner, Alfred'], dtype=object)]",True,[11],12
13,Concours : Prix Godeboeuf : 1885 : Une horloge adossée,,,,,,,,,1885-01-01,,,Porte les armes de Genève ainsi que la lettre G dans un cartouche. Surmontée d'un coq.,,,,0138.04.0001/60 ; 0138.04.0001/176,,False,[],13
14,Concours d'émulation : 1ère classe : Esquisse: L'entrée principale d'un grand cimetière,,,,,,,,,1885-01-01,,,,,,,0138.04.0001/269,,False,[],14
15,Concours d'émulation : 2e classe : Esquisse : Un banc d'&#339;uvre pour une Eglise paroissiale de petite ville,,,,,,,,,1885-01-01,,,,,,,0138.04.0001/89,,False,[],15
16,Concours d'émulation : 2e classe : Rendu: Un théâtre pour une ville de second ordre,Culture et vie sociale,,,,,,,,1885-01-01,,,,,,,0138.04.0001/157 ; 0138.04.0001/174 ; 0138.04.0001/156,,False,[],16
17,Concours pour une fontaine monumentale à élever sur la Place Neuve,Monument,pl. Neuve,,,,Genève,,Genève,1885-01-01,1886-01-01,,"Fontaine décorative à placer contre la Terrasse de M. de Sellon.;ouvert aux artistes genevois et suisses, ainsi qu'aux étrangers résidant à Genève.;Les projets peuvent être exécutés en peinture, dessin ou modelage à l'échelle de 5 cm /m. + un dessin d'ensemble. ;Le document explicite les conditions de nomination des jurés, les prix, etc. ;;""Les Artistes désirant faire ce Concours pourront aussi se procurer au prix de revient une photographie spéciale de l'ensemble de la Place Neuve"".",Section des Beaux-Arts de l'Institut National Genevois,,,0138.04.0001/81 ; 0138.04.0001/140 ; 0138.04.0001/79 ; 0138.04.0001/179 ; 0138.04.0001/80 ; 0138.04.0001/76 ; 0138.04.0001/78 ; 0138.04.0001/180 ; 0138.04.0001/82 ; 0138.04.0001/75 ; 0138.04.0001/77,"[array([""Section des Beaux-Arts de l'Institut National Genevois""],
       dtype=object)                                              ]",False,[],17
18,Concours : Prix Godeboeuf : 1886 : Un lampadaire électrique,,,,,,,,,1886-01-01,,,,,,,0138.04.0001/255,,False,[],18
19,Concours d'émulation : 1ère classe : Esquisse : Un monument commémoratif d'une Exposition universelle,,,,,,,,,1886-01-01,,,"Obélisque sur socle monumental, surmonté d'une statue féminine",,,,0138.04.0001/202,,False,[],19
20,Concours d'émulation : 1ère classe : Rendu : Un odéon ou Salle de concert ,Culture et vie sociale,,,,,,,,1886-01-01,,,,,,,0138.04.0001/163 ; 0138.04.0001/158 ; 0138.04.0001/161,,False,[],20
21,Premier concours pour le musée des beaux-Arts,Culture et vie sociale,,,,,Genève,,Suisse,1886-01-01,,A.suis.ét.canton,"Les concurrents ont le choix entre deux emplacements: La promenade de St-jean et le terrain des Casemates.;Le programme comporte: les collections de peinture; une galerie de sculpture; le musée des arts décoratifs (en création); des locaux ou galeries pour collections de plâtres, collection lapidaire, atelier de réparations, etc.",,,,,,False,[],21
22,Concours : Prix Godeboeuf : 1887 : Un pont galerie au-dessus d'une rue,,,,,,,,,1887-01-01,,,,,,,0138.04.0001/175,,False,[],22
23,Concours d'émulation : 1ère classe - Rendu : Un hôtel de Préfecture,,,,,,,,,1887-01-01,,,,,,,0138.04.0001/148 ; 0138.04.0001/147 ; 0138.04.0001/149 ; 0138.04.0001/141,,False,[],23
24,Concours d'émulation : 1ère classe : Esquisse : Un amphithéâtre pour les oraisons funèbre,Religion,,,,,,,,1887-01-01,,,"Edifice de plan carré, couvert d'une coupole, d'inspiration antiquisante.;;Le nom de l'objet a pu être identifié grâce au dossier des Archives nationales de France",,,,0138.04.0001/203,,False,[],24
25,Concours d'émulation : 1ère classe : Rendu : Une porte de ville,,,,,,,,,1887-01-01,,,"Selon le dossier des Archives nationales de France, Morsier obtient une mention pour son projet.;;",,,,0138.04.0001/178 ; 0138.04.0001/188,,False,[],25
26,Concours d'émulation du 6 décembre [18]87: Escalier Henri II au Palais du Louvre,,,,,,,,,1887-01-01,,,Le titre au crayon rouge sur le plan de l'escalier remplace le titre imprimé qui était: Concours d'ornement et d'ajustement du 5 février 1887.,,,,0138.04.0001/61,,False,[],26
27,Concours d'émulation : 1ère classe : Esquisse : La distribution d'un hôtel sur un terrain irrégulier,,,,,,,,,1888-01-01,,,,,,,0138.04.0001/190,,False,[],27
28,Concours d'émulation : 1ère classe : Esquisse : Un pavillon pour l'Exposition universelle,Culture et vie sociale,,,,,,,,1888-01-01,,,,,,,0138.04.0001/154,,False,[],28
29,"Concours d'émulation : 1ère classe : Rendu : Une villa dans les environs de Nice, 3.4.1888",,,,,,,,,1888-01-01,,,,,,,0138.04.0001/107 ; 0138.04.0001/168 ; 0138.04.0001/169 ; 0138.04.0001/166,,False,[],29
30,Concours d'émulation : 1ère classe : Esquisse: Une volière dans un jardin d'hive,,,,,,,,,1889-01-01,,,,,,,0138.04.0001/167,,False,[],30
31,Concours d'émulation : 1ère classe : Rendu : Un bazar ou grand magasin,,,,,,,,,1889-01-01,,,"Bâtiment principal situé dans un environnement de type ""grands boulevards parisiens"". Selon la coupe longitudinale, bâtiment sur rue avec volumes  d'exposition et bâtiment arrière, séparé par une cour de fonction plus administrative voire artisanale.;;Le projet porte le nom ""A la veste d'or"". Reçoit une 1ère mention.;;Infos complétées grâce au dossier des Archives nationales de France.",,,,0138.04.0001/200 ; 0138.04.0001/201 ; 0138.04.0001/133 ; 0138.04.0001/134,,False,[],31
32,Concours pour les plans de l'édifice de Rumine,,"Riponne, place de la",,,,Lausanne,,Vaud,1889-01-01,,International,Programme SBZ 1889 volume XIV p.91. Trois cent programmes ont été demandés (trente-six projets rendus seulement). Apparemment le premier concours dont le BSVIA/ futur BTSR fournisse les résultats accompagnés du rapport du jury,"Nénot, H.-P;Auer, Hans;Lasius, G;Hoffmann, Ludwig;Hirsch, Q;Cuénoud, Samuel;Ruffy, E;Golliez, H","Juré;Juré;Juré;Juré;Juré;Juré, président;Juré, président;Juré, secrétaire",,,"[array(['Nénot, H.-P'], dtype=object) array(['Auer, Hans'], dtype=object)
 array(['Lasius, G'], dtype=object)
 array(['Hoffmann, Ludwig'], dtype=object)
 array(['Hirsch, Q'], dtype=object)
 array(['Cuénoud, Samuel'], dtype=object)
 array(['Ruffy, E'], dtype=object) array(['Golliez, H'], dtype=object)]",False,[],32
33,"Concours pour la Banque cantonale vaudoise à Lausanne, jugement",,,,,,Lausanne,,Suisse,1891-01-01,,,Pas d'extrait de rapport du jury dans SBZ ni d'indication du nombre de projets remis ou de dates de délibérations. Pas de premier prix.  2e prix 3'000.-  Deux 3e prix ex aequo 2'500.-  4e prix 2'000.-,"Regamey, Jaques;Isoz, Francis;Hünerwadel, Theodor +;Bezencenet, Louis &;Meyer, Henri +;Girardet, Alexandre &",;Juré;3e prix ex aequo;1er  prix;Prix ex aequo;1er  prix,,,"[array(['Regamey, Jaques'], dtype=object)
 array(['Isoz, Francis'], dtype=object)
 array(['Hünerwadel, Theodor, Bezencenet, Louis, Meyer, Henri, Girardet, Alexandre'],
       dtype=object)                                                                 ]",True,[1745],33
34,"Concours pour un bâtiment scolaire et d'administration, jugement",,Le Châtelard,,,,Montreux,,Vaud,1892-01-01,1892-10-08,,,"Flégel;Chaudet, Henri;Clerc, Gustave;néant",2e prix;3e prix;3e prix;1er  prix,,,"[array(['Flégel'], dtype=object) array(['Chaudet, Henri'], dtype=object)
 array(['Clerc, Gustave'], dtype=object) array(['néant'], dtype=object)]",True,[],34
35,"Concours pour un bâtiment scolaire et d'administration, jugement",,Le Châtelard,,,,Montreux,,Vaud,1892-01-01,1892-10-08,,,,,,,,True,[],35
36,"Concours (1er degré) pour les bas-reliefs du vestibule d'entrée du Palais de justice fédéral, à Lausanne, jugement",,Montbenon,,,,Lausanne,Vaud,Suisse,1896-01-01,,,"Le jury décide de proposer un second degré où seuls les auteurs d'un projet primé lors du premier degré seraient admis à participer. Meyer (probablement Adolf Meyer) ayant rendu son projet en retard, il n'est admis au second degré qu'en renonçant au défraiement (1'500.- et les frais de transport) accordé aux autres concurrents du second degré. Seuls Meyer et Siber sont mentionnés (pas de résultats pour le concours au 1er degré dans la SBZ, chercher dans BSVIA)","Meyer;Siber, Gustav",Concurrent;3e prix ex aequo,,,"[array(['Meyer'], dtype=object) array(['Siber, Gustav'], dtype=object)]",True,[1983],36
37,Concours pour l'agrandissement du Kursaal à Montreux,,"Théâtre, rue du",,,,Montreux,,Vaud,1896-01-01,1897-01-01,A. national,"Très brève indication SBZ 1897 vol. XXIX p.35, sans mention du maître de l'ouvrage","Maillard, Louis;Juvet, Henri-Ed.-L",Juré;Juré,,,"[array(['Maillard, Louis'], dtype=object)
 array(['Juvet, Henri-Ed.-L'], dtype=object)]",False,[1771],37
38,"Concours pour le casino d'Yverdon, jugement",,,,,,Yverdon,,Suisse,1896-01-01,,,"Pas d'extrait de rapport du jury dans la SBZ, chercher dans BSVIA. Vingt-trois projets remis. Trois 1erprix ex aequo 500.-  Deux 2e prix ex aequo 250.-  Deux mentions, la première avec recommandation d'achat","Châble, Gustave;Béguin, Jean;Widmer, Fritz;Wullschleger, Erwin +;Perret, Ch +;Lambert, André;Bezencenet, Louis &;Girardet, Alexandre &;Linder, Th",1er prix ex aequo;5e prix;2e prix ex aequo;2e prix ex aequo;2e prix ex aequo;Mention et achat;1er  prix;1er  prix;1er prix ex aequo,,,"[array(['Châble, Gustave'], dtype=object)
 array(['Béguin, Jean'], dtype=object)
 array(['Widmer, Fritz'], dtype=object)
 array(['Wullschleger, Erwin', 'Perret, Ch', 'Lambert, André'],
       dtype=object)
 array(['Bezencenet, Louis', 'Girardet, Alexandre', 'Linder, Th'],
       dtype=object)                                              ]",True,[1965],38
39,"Concours (2e degré) pour les bas-reliefs du vestibule d'entrée du Palais de justice fédéral, à Lausanne, jugement",,Montbenon,,,,Lausanne,Vaud,Suisse,1897-01-01,,,"Bref extrait du rapport du jury SBZ 1898 vol.XXXI p.44. Six projets remis. La composition du jury reste probablement celle du premier degré. A l'exception de Meyer, pas d'indication des identités des autres concurrents. Voir également BTSR 1906 p. 217. Gustave Siber exécutera les six bas-reliefs de l'entrée, achevés et posés en 1901 par Rossier et Pedroni, entrepreneurs, sous la direction de l'architecte Benjamin Recordon. En reconnaissance de son travail Meyer reçoit tout de même le défraiement de 1'500.- remis aux autres concurrents","Meyer;Siber, Gustav",Concurrent;3e prix ex aequo,,,"[array(['Meyer'], dtype=object) array(['Siber, Gustav'], dtype=object)]",True,[],39
40,"Concours pour la construction d'une école primaire à la Barre, à Lausanne",,,,,,Lausanne,,Suisse,1897-01-01,1897-09-30,,"Ouvert par la commune, pas d'indication de conditions de participation","Bourdillon, André Marcel;Combe, Dr;Maillefer, Paul;Reuller;Jung, Ernst","Juré;Juré;Juré, président;Juré;Juré",,,"[array(['Bourdillon, André Marcel'], dtype=object)
 array(['Combe, Dr'], dtype=object)
 array(['Maillefer, Paul'], dtype=object) array(['Reuller'], dtype=object)
 array(['Jung, Ernst'], dtype=object)]",False,[1031],40
41,"Concours (1er degré) pour l'Université californienne à Berkeley près de San Francisco, jugement",,,,,,San Francisco,,Etats-Unis,1898-01-01,,,Voir SBZ vol. XXXII p.116 et XXXIV p.169. Cent trois projets remis. Onze projets retenus pour le 2e degré et quatre achats. Pas d'indication de récompenses lors du 1er degré,"Bluntschli, Friedrich;Neckelmann, Skjold;Joanny, Robert &;Joanny, Bernard &;des Anges, Charles;Flagg, Ernest;Warren, Withney;Barbaud &;Bahain, E &;Hull &;Stokes & +;Bénard, Emile;Cauldwell &;Hornbostel, H +;Hewett &;Dick, Rudolf;Despradelles, D +;Freedlander, J. H;Héraud, Gabriel &;Lord &;Eickmüller, W. C &;Codmann, Stephan +;Howells & +;Howard &",Juré;Achat;Achat;Achat;Achat;Achat;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;1er  prix;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré;Admis 2e degré,,,"[array(['Bluntschli, Friedrich'], dtype=object)
 array(['Neckelmann, Skjold'], dtype=object)
 array(['Joanny, Robert', 'Joanny, Bernard', 'des Anges, Charles'],
       dtype=object)
 array(['Flagg, Ernest'], dtype=object)
 array(['Warren, Withney'], dtype=object)
 array(['Barbaud', 'Bahain, E', 'Hull', 'Stokes &', 'Bénard, Emile'],
       dtype=object)
 array(['Cauldwell', 'Hornbostel, H', 'Hewett', 'Dick, Rudolf'],
       dtype=object)
 array(['Despradelles, D', 'Freedlander, J. H'], dtype=object)
 array(['Héraud, Gabriel, Lord, Eickmüller, W. C, Codmann, Stephan, Howells &, Howard'],
       dtype=object)                                                                    ]",True,[1987],41
42,"Concours (1er degré) pour un pénitencier cantonal à Payerne, jugement",,,,,,Payerne,,Suisse,1898-01-01,,,"Pas d'extrait de rapport du jury dans le BSVIA ou la SBZ, résultats dans la SBZ. Trente-trois projets remis. Cinq architectes et cinq projets admis au concours au 2e degré. A part Ott, trois autres projets reçoivent une mention honorable. Un nouveau programme est établi pour le second degré dans le délai de quinze jours environ","Béguin, Jean;Guinand, G;Moser, Robert;Moachon, Ernest;Isoz, Francis;Ott-Roniger, S","5e prix;Admis 2e degré;Juré, président;2e prix;Juré;2e prix ex aequo",,,"[array(['Béguin, Jean'], dtype=object) array(['Guinand, G'], dtype=object)
 array(['Moser, Robert'], dtype=object)
 array(['Moachon, Ernest'], dtype=object)
 array(['Isoz, Francis'], dtype=object)
 array(['Ott-Roniger, S'], dtype=object)]",True,[1223],42
43,"Concours des ponts de Lausanne, jugement",,"Chauderon-Montbenon, pont","Ecole industrielle-Caroline, pont","Cité-Ecole de médecine, pont",,Lausanne,,Vaud,1898-01-01,,,"Trois ponts différents, tous sur le vallon du Flon (titre SBZ ""Drei Brücken über das Flon-Thal in Lausanne""). Extraits du rapport du jury BSVIA 1899 p.145 et SBZ 1899 vol XXXIII p.66,75,84 et 96. Vingt projets remis, dont treize pour le pont Chauderon- Montbenon, trois pour le pont Ecole industrielle-Caroline et quatre pour le pont Cathédrale- Ecole de médecine, ci-dessus dans l'ordre:  A) Chauderon 1er prix 3'500.- 2e prix 2'500.-  3e prix 2'000.-  Deux achats 1'000.-  (Bosshardt/Regamey & Meyer; de Mollins)  B) Ecole industrielle-Caroline  1er prix 2'500.-  2e prix 2'000.-  3e prix 2'000.-     C) Cité-Ecole de médecine  Deux 1er prix ex aequo 3'000.-  2e prix 2'000.- Le pont ""Ecole-Industrielle- Cathédrale"" est prévu à l'emplacement de l'actuel pont Bessières. L'auteur de celui-ci est François Schüle, avec la collaboration d'Alphonse Vautier, du professeur Bosset et d'Eugène Jost; les entrepreneurs étaient les ACMV pour la charpente métallique et E. Bellorini pour les maçonneries. Voir aussi article A. Dommer dans le BTSR 1911 p.85 à propos du pont Bessières, avec historique. Nombreux compte-rendu du conseil communal sur le thème des ponts voir AVL. Correspondance SBZ vol. XXXIII p.100","Ateliers de constructions mécaniques de Vevey ACMV;Bouvier, Paul;Probst, E;Joos, Eduard;Elskes, Edouard +;Elskes, Edouard;Robert, Adolphe +;Meyer, Henri &;Bosshardt & Cie;Mollins, Samuel de;Regamey, Jaques &;Buss, Albert & Cie;Jost, Eugène;Bell & Cie;Doucas;Meili-Wapf, Heinrich;Simons, P","6e prix;2e prix ex aequo;2e prix, 3e prix;Juré;2e prix;Juré;2e prix;4e prix;Achat;Chargé de l'exécut.;4e prix;1er  prix;3e prix ex aequo;Concurrent;1er prix ex aequo;Juré;1er prix ex aequo",,,"[array(['Ateliers de constructions mécaniques de Vevey ACMV'], dtype=object)
 array(['Bouvier, Paul'], dtype=object) array(['Probst, E'], dtype=object)
 array(['Joos, Eduard'], dtype=object)
 array(['Elskes, Edouard', 'Elskes, Edouard'], dtype=object)
 array(['Robert, Adolphe', 'Meyer, Henri', 'Bosshardt & Cie'], dtype=object)
 array(['Mollins, Samuel de'], dtype=object)
 array(['Regamey, Jaques', 'Buss, Albert & Cie'], dtype=object)
 array(['Jost, Eugène'], dtype=object) array(['Bell & Cie'], dtype=object)
 array(['Doucas'], dtype=object)
 array(['Meili-Wapf, Heinrich'], dtype=object)
 array(['Simons, P'], dtype=object)]",True,[2125],43
44,Concours pour l'Exposition cantonale vaudoise de Vevey,,,,,,Vevey,,Suisse,1899-01-01,1899-11-01,,"Pas d'indication de composition du jury dans le BSVIA, seule indication 1899 p.193",,,,,,False,[1696],44
45,Concours pour l'Exposition cantonale vaudoise de Vevey,,,,,,Vevey,,Suisse,1899-01-01,1899-11-01,,"Pas d'indication de composition du jury dans le BSVIA, seule indication 1899 p.193",,,,,,False,[1696],45
46,Concours pour le pénitencier de Payerne,Administration,,,,,Payerne,,Vaud,1899-01-01,1899-01-01,,"Pénitencier avec un pavillon d'entrée donnant accès à une cours. De part et d'autre, il y a une section femmes et l'infirmerie, un pavillon pour l'administration et les services généraux, puis les bâtiments des cellules disposées le long d'un long couloir rectiligne. A l'extrémité des bâtiments, des prolongements avec des locaux s'étendent sur un plan radio-concentrique.;;La devise est ""soleil partout"";;Concours (1er degré) pour un pénitencier cantonal à Payerne;;Annonce 1.1.1899 - Rendu 1.4.1899;;Ouvert par le Département de Justice et Police entre les architectes établis en Suisse. Description du programme SBZ vol. XXXIII p.21 et commentaire p.30 (programme non conforme aux prescription SIA: majorité de non architectes). Programme BSVIA 1899 p.143. Le premier degré est un concours d'idées sans rémunération pour les concurrents. Le second degré est un ""Concours définitif restreint"" soumis au même jury;;Robert Moser, Jean Béguin G. Guinand, Francis Isoz, Ernest Moachon admis au second degré;;In fine, recommandation d'exécution pour le projet d'Isoz.;;",[Morsier de & Weibel],Architecte,0164.04.0017,,"[array(['[Morsier de & Weibel]'], dtype=object)]",False,[],46
47,Concours pour le viaduc de la Gryonne,,,,,,Gryon,,Vaud,1899-01-01,,,"Concours ouvert par la Société des Forces motrices de l'Avençon, sous les auspices de l'Etat.;",,,,,,False,[2298],47
48,Concours du Musée d'Art et d'Histoire,Culture et vie sociale,,,,,Genève,,Suisse,1900-01-01,1904-01-01,,"[INSA 1850-1920, p. 343];Musée d'art et d'histoire. Premier concours en 1886. Le conseil administratif de la Ville de Genève ouvre 1900 un nouveau concours à deux degrés (concours général d'esquisses puis concours définitif). Prix attribués lors du concours définitif : 1er Marc Camoletti; 2ème de Morsier & Weibel.","[Morsier de & Weibel];[Laverrière];[Boursier, Bouvier ???]",Architecte;Architecte;Architecte,0164.04.0078,,"[array(['[Morsier de & Weibel]'], dtype=object)
 array(['[Laverrière]'], dtype=object)
 array(['[Boursier, Bouvier ???]'], dtype=object)]",False,[],48
49,"Concours pour l'établissement de nouvelles prisons de district à élever au Bois-Mermet, jugement",,,,,,Lausanne,,Suisse,1900-01-01,,,,"Bonjour, Charles-François +;Oulevey, Oscar +",;,,,"[array(['Bonjour, Charles-François, Oulevey, Oscar'], dtype=object)]",True,[1645],49
50,Concours pour une Eglise évangélique réformée à Berne,,,,,,Bern,,Suisse,1900-01-01,1901-01-01,,Pour l'ouverture du concours et les dates de rendu voir SBZ fin 1900.,"Wurstemberger, René von;Auer, Hans;Reber, Paul;Ryser, Emil;Bluntschli, Friedrich",Juré;Juré;Juré;Juré;Juré,,,"[array(['Wurstemberger, René von'], dtype=object)
 array(['Auer, Hans'], dtype=object) array(['Reber, Paul'], dtype=object)
 array(['Ryser, Emil'], dtype=object)
 array(['Bluntschli, Friedrich'], dtype=object)]",False,[1725],50
